"id";"parent_id";"level";"objectid";"objecttype";"querystatus";"querytime";"querytype";"name";"message";"type";"metadata.type";"talking_about_count";"likes";"likes.count";"shares.count";"comments.count";"created_time";"updated_time"
"92";"5";"2";"884241901637956_884245364970943";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:32:24+0000";""
"93";"5";"2";"884241901637956_884246621637484";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:37:20+0000";""
"94";"5";"2";"884241901637956_884249931637153";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"DUNE BEIGE   #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:45:53+0000";""
"95";"5";"2";"884241901637956_884244791637667";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Dune beige";"";"";"";"";"";"";"";"2015-03-05T10:29:57+0000";""
"96";"5";"2";"884241901637956_884243394971140";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:24:43+0000";""
"97";"5";"2";"884241901637956_884243834971096";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"A4 .Dune Beige #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:26:37+0000";""
"98";"5";"2";"884241901637956_884246671637479";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"DUNE BEIGE #ZestForColours
 But i own red...nd its really awsome";"";"";"";"";"";"";"";"2015-03-05T10:37:40+0000";""
"99";"5";"2";"884241901637956_884244041637742";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours,";"";"";"";"";"";"";"";"2015-03-05T10:26:54+0000";""
"100";"5";"2";"884241901637956_884243994971080";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours..";"";"";"";"";"";"";"";"2015-03-05T10:26:45+0000";""
"101";"5";"2";"884241901637956_884243841637762";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:26:38+0000";""
"102";"5";"2";"884241901637956_884245528304260";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:32:46+0000";""
"103";"5";"2";"884241901637956_884245861637560";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:33:49+0000";""
"104";"5";"2";"884241901637956_884244164971063";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige :)";"";"";"";"";"";"";"";"2015-03-05T10:27:24+0000";""
"105";"5";"2";"884241901637956_884246991637447";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:39:05+0000";""
"106";"5";"2";"660754120653403_884242141637932";"offcut";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"";"";"";"";"";"";"";"";"";""
"107";"5";"2";"884241901637956_884246991637447";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:39:05+0000";""
"108";"5";"2";"884241901637956_884244691637677";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:29:39+0000";""
"109";"5";"2";"884241901637956_884243428304470";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Dune Beige..... #ZestForColours .... !!";"";"";"";"";"";"";"";"2015-03-05T10:24:47+0000";""
"110";"5";"2";"884241901637956_884247654970714";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours DUNE BIEGE";"";"";"";"";"";"";"";"2015-03-05T10:41:27+0000";""
"111";"5";"2";"884241901637956_884246138304199";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:34:54+0000";""
"112";"5";"2";"884241901637956_884245771637569";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:33:29+0000";""
"113";"5";"2";"884241901637956_884244651637681";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:29:36+0000";""
"114";"5";"2";"884241901637956_884243581637788";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Ans 4.
Dune beige #zestforcolours";"";"";"";"";"";"";"";"2015-03-05T10:25:35+0000";""
"115";"5";"2";"884241901637956_884245294970950";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:32:07+0000";""
"116";"5";"2";"884241901637956_884243824971097";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"@ns - Dune beige";"";"";"";"";"";"";"";"2015-03-05T10:26:36+0000";""
"117";"5";"2";"884241901637956_884243438304469";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZEST4COLOURS - @ns - Dune beige";"";"";"";"";"";"";"";"2015-03-05T10:24:48+0000";""
"118";"5";"2";"884241901637956_884246601637486";"data";"fetched (200)";"2015-03-05 16:16:06.287000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige is the answer";"";"";"";"";"";"";"";"2015-03-05T10:37:12+0000";""
"119";"5";"2";"884241901637956_884245944970885";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"A4)  DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:34:03+0000";""
"120";"5";"2";"884241901637956_884244508304362";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:28:55+0000";""
"121";"5";"2";"884241901637956_884243381637808";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:24:41+0000";""
"122";"5";"2";"884241901637956_884243364971143";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Dune Biege zest for colours";"";"";"";"";"";"";"";"2015-03-05T10:24:40+0000";""
"123";"5";"2";"884241901637956_884243234971156";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Ans 4. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:24:16+0000";""
"124";"5";"2";"884241901637956_884245344970945";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:32:15+0000";""
"125";"5";"2";"884241901637956_884248361637310";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:43:07+0000";""
"126";"5";"2";"884241901637956_884247828304030";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:42:18+0000";""
"127";"5";"2";"884241901637956_884246918304121";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Dune Beige #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:38:44+0000";""
"128";"5";"2";"884241901637956_884246444970835";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"A-4:Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:36:27+0000";""
"129";"5";"2";"884241901637956_884245374970942";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Dune beige #zest for colours";"";"";"";"";"";"";"";"2015-03-05T10:32:25+0000";""
"130";"5";"2";"884241901637956_884243684971111";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:26:03+0000";""
"131";"5";"2";"884241901637956_884249178303895";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:44:45+0000";""
"132";"5";"2";"660754120653403_884242141637932";"offcut";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"";"";"";"";"";"";"";"";"";""
"133";"5";"2";"884241901637956_884248428303970";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:43:15+0000";""
"134";"5";"2";"884241901637956_884244718304341";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Dune Beige  #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:29:46+0000";""
"135";"5";"2";"884241901637956_884243181637828";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:24:09+0000";""
"136";"5";"2";"884241901637956_884245158304297";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"A4. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:31:29+0000";""
"137";"5";"2";"884241901637956_884244494971030";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:28:52+0000";""
"138";"5";"2";"884241901637956_884243478304465";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestzForColours
DUNE BEIGE";"";"";"";"";"";"";"";"2015-03-05T10:25:02+0000";""
"139";"5";"2";"884241901637956_884244021637744";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:26:49+0000";""
"140";"5";"2";"884241901637956_884244468304366";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:28:46+0000";""
"141";"5";"2";"884241901637956_884246758304137";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Ans 4 - ""DUNE BEIGE""   #ZestForColours  Zest from Tata Motors";"";"";"";"";"";"";"";"2015-03-05T10:38:10+0000";""
"142";"5";"2";"884241901637956_884247454970734";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Ans.3 Dune Beige  Zest from Tata Motors";"";"";"";"";"";"";"";"2015-03-05T10:40:30+0000";""
"143";"5";"2";"884241901637956_884244314971048";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"DUNE BEIGE #ZestForColours Zest from Tata Motors";"";"";"";"";"";"";"";"2015-03-05T10:28:02+0000";""
"144";"5";"2";"884241901637956_884244618304351";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige DrReena Jain Heena Jain";"";"";"";"";"";"";"";"2015-03-05T10:29:27+0000";""
"145";"5";"2";"884241901637956_884243921637754";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Zest from Tata Motors  #ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:26:40+0000";""
"146";"5";"2";"884241901637956_884244251637721";"data";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"Venkat M Prabu";"";"";"";"";"";"";"";"2015-03-05T10:27:48+0000";""
"147";"5";"2";"660754120653403_884242141637932";"offcut";"fetched (200)";"2015-03-05 16:16:06.701000";"Facebook:<post>/comments";"";"";"";"";"";"";"";"";"";"";""
